claim_id,tex_file,line_start,line_end,claim_text,claim_type,evidence_artifact,evidence_locator,evidence_hash,verification_method,status,review_notes
R11,manuscript.tex,,,"Table~\ref{tab:per_model_gap} reports the per-model generalisation gap (random-split macro-F1 minus source-disjoint macro-F1) with mean, median, range, worst case, paired-bootstrap 95\% CI, and Wilcoxon signed-rank $p$ across the six holdouts.",literature-derived,references.bib,reports/reference_verification.csv,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R12,manuscript.tex,,,The mean gap ranges from \GapMeanMTwo{} (M2) to \GapMeanMFour{} (M4); the worst-case holdout gap reaches \GapWorstMFour{} (M4).,experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,manual read,needs-review,
R13,manuscript.tex,,,All six models show a positive mean gap with a Wilcoxon $p$ of \WilcoxonP{}.,experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,manual read,needs-review,
R14,manuscript.tex,,,"This $p$-value is the two-sided floor for $n=6$ when all signs agree: it confirms that the direction of the drop is consistent across holdouts for every model, but it is not independent per-model evidence, because the six holdouts are shared across models.",experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R15,manuscript.tex,,,"On four of six holdouts, source-disjoint splits still contain tens to hundreds of thousands of cross-split exact-SimHash pairs (e.g., 518,677 for the trec6+trec7 holdout); on the remaining two holdouts (trec5 and trec5+trec6) the count is zero.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R16,manuscript.tex,,,"The random full-match controls contain 198,199--690,608 cross-split pairs, confirming that random splits exploit both within-source and cross-source replication.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R17,manuscript.tex,,,"The source-predictability probe shows that the training features encode source identity with \SourcePredMin{}--\SourcePredMax{} cross-validated accuracy on the two-source training partitions (chance 0.5), confirming that source artefacts are highly learnable.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R18,manuscript.tex,,,"The OOV share ranges from \OOVMin{} to \OOVMax{}, so 12--17\% of test tokens are absent from the training vocabulary.",experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R19,manuscript.tex,,,"The cluster-disjoint and joint protocols produce deltas very close to the source-disjoint deltas, because the cluster rule removes only the within-source replication that the source rule already removes for cross-source pairs; the remaining gap is dominated by genuine source shift rather than by nea",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,manual read,needs-review,
R20,manuscript.tex,,,The per-model generalisation gap is shown numerically in Table~\ref{tab:per_model_gap}.,experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,manual read,needs-review,
R21,manuscript.tex,,,All pairwise McNemar comparisons between the structurally distinct model families (M1/M2 vs M3 vs M4) were significant at the Holm-corrected level on every split tested (\texttt{outputs/runs/20260811T162016Z\_d2881b85/\\metrics/model\_comparisons.csv}: 215 of 225 pairwise tests significant at $\alph,literature-derived,references.bib,reports/reference_verification.csv,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R22,manuscript.tex,,,"We caution, however, that statistical significance does not imply a stable model ordering across holdouts: the per-holdout rankings in Table~\ref{tab:holdout} show that the best model varies with the held-out source, so we do not claim that any model is best across all holdouts.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,manual read,needs-review,
R23,manuscript.tex,,,"\subsection{Independent-corpus validation} To test whether the models' cross-source behaviour transfers beyond the three TREC sources, we evaluated the same six models on an independent corpus: the ealvaradob/phishing-dataset texts subset (20,069 messages after cleaning, 7,660 positive and 12,409 be",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
R24,manuscript.tex,,,"The exact-text overlap with the cleaned MeAJOR corpus is zero, and only 41 of 20,069 secondary SimHash values collide with primary SimHash values, so the two corpora are effectively disjoint at the content level.",experiment-derived,outputs/runs/<run_id>/metrics/all_metrics.csv,result_macros.tex,4ee8a767f6b8bdc7659442f8884b5ea0a9d4ce0c530e7b314633d505b2692789,numerical: macro/table cross-check,verified,
D25,manuscript.tex,,,Under random splitting the best macro-F1 is \RandomBestMacroFOne{}; under source-disjoint evaluation the best is \SourceBestMacroFOne{}.,dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,9dce89bf3ded62c73e4d35a4dde2aaf21b4a950817dba66d098bed84ac0c4f8d,manual read,needs-review,
D26,manuscript.tex,,,"The per-model mean gap ranges from \GapMeanMTwo{} (M2) to \GapMeanMFour{} (M4), with worst-case \GapWorstMFour{}, consistent with dataset shift~\cite{dataset_shift}: a random split lets a model rely on near-duplicate campaigns that a source-disjoint holdout removes.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,9dce89bf3ded62c73e4d35a4dde2aaf21b4a950817dba66d098bed84ac0c4f8d,manual read,needs-review,
D27,manuscript.tex,,,The source-predictability probe (\SourcePredMin{}--\SourcePredMax{} CV accuracy) shows the features encode source identity; PSI and KS show substantial train/test shift on demanding holdouts; the OOV share (12--17\%) shows unseen test vocabulary; training-only recalibration recovers at most \RecalMa,dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,9dce89bf3ded62c73e4d35a4dde2aaf21b4a950817dba66d098bed84ac0c4f8d,numerical: macro/table cross-check,verified,
D28,manuscript.tex,,,"Source separation alone is not sufficient: on four of six holdouts, source-disjoint splits still contain 40,705--518,677 cross-split exact-SimHash pairs, all cross-source.",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,9dce89bf3ded62c73e4d35a4dde2aaf21b4a950817dba66d098bed84ac0c4f8d,numerical: macro/table cross-check,verified,
D29,manuscript.tex,,,"The structural model M3 collapses (\SourceMeanMacroFOneMThree{}), suggesting that the URL, attachment, and language features encode source-specific statistics rather than a portable signal; this is mirrored by M3's collapse to macro-F1 \SecFMThree{} on the secondary corpus while the linear text mode",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,9dce89bf3ded62c73e4d35a4dde2aaf21b4a950817dba66d098bed84ac0c4f8d,numerical: macro/table cross-check,verified,
C30,manuscript.tex,,,"The manifest records SHA-256 checksums for all prediction sets, metrics, fitted models, split manifests, configuration, and source-tree hash, together with the SimHash parameters (64-bit, 4 bands $\times$ 16 bits, exact at Hamming 0, near-duplicates at $\le 8$), the cluster-disjoint rule, and the ma",dataset-derived,outputs/audit/source_class_distribution.csv,outputs/audit/audit_summary.md,201ad8620f91c6b1f4b3b9c6f290e19723b6ac3ec03de54240612d644eabf72d,numerical: macro/table cross-check,verified,
X31,manuscript.tex,,,"108,685|108685",dataset-derived,outputs/audit/schema.json,zenodo record,a45b96ed0cb18ff48161c5547c5f147ffbbb42fc5568e6a5cb8b47516abc3fba,artifact check,verified,
X32,manuscript.tex,,,source-aware audit of the MeAJOR corpus,contribution,outputs/audit/audit_summary.md,audit gate,5bc43fbb40490e8fd74f1d7e5ed47fdb1f5126ff2977de9ba137e09239aac99c,artifact check,verified,
X33,manuscript.tex,,,accuracy-efficiency analysis,contribution,outputs/runs/<run_id>/metrics/efficiency_aggregate.csv,efficiency aggregate,f2f51500721db4c38023c6f7ef45e58dd76a7d07911743d0cde477d4a49d38e5,artifact check,verified,
